Natural Disaster,Number of Deaths,Entity,Code,Year
Earthquake,0,Cambodia,KHM,01/01/2000
Extreme temperature,0,Cambodia,KHM,01/01/2000
Extreme weather,1.9,Cambodia,KHM,01/01/2000
Flood,45.5,Cambodia,KHM,01/01/2000
Fog,0,Cambodia,KHM,01/01/2000
Glacial lake outburst flood,0,Cambodia,KHM,01/01/2000
Volcanic activity,0,Cambodia,KHM,01/01/2000
Wet mass movement,0,Cambodia,KHM,01/01/2000
Wildfire,0,Cambodia,KHM,01/01/2000
Drought,0,Cambodia,KHM,01/01/2010
Dry mass movement,0,Cambodia,KHM,01/01/2010
Earthquake,0,Cambodia,KHM,01/01/2010
Extreme temperature,0,Cambodia,KHM,01/01/2010
Extreme weather,0,Cambodia,KHM,01/01/2010
Flood,52.6,Cambodia,KHM,01/01/2010
Fog,0,Cambodia,KHM,01/01/2010
Glacial lake outburst flood,0,Cambodia,KHM,01/01/2010
Volcanic activity,0,Cambodia,KHM,01/01/2010
Wet mass movement,0,Cambodia,KHM,01/01/2010
Wildfire,0,Cambodia,KHM,01/01/2010
Drought,0,Cambodia,KHM,01/01/2020
Dry mass movement,0,Cambodia,KHM,01/01/2020
Earthquake,0,Cambodia,KHM,01/01/2020
Extreme temperature,0,Cambodia,KHM,01/01/2020
Extreme weather,12.2,Cambodia,KHM,01/01/2020
Flood,3,Cambodia,KHM,01/01/2020
Fog,0,Cambodia,KHM,01/01/2020
Glacial lake outburst flood,0,Cambodia,KHM,01/01/2020
Volcanic activity,0,Cambodia,KHM,01/01/2020
Wet mass movement,0,Cambodia,KHM,01/01/2020
Wildfire,0,Cambodia,KHM,01/01/2020
Drought,0,Cameroon,CMR,01/01/1900
Dry mass movement,0,Cameroon,CMR,01/01/1900
Earthquake,0,Cameroon,CMR,01/01/1900
Extreme temperature,0,Cameroon,CMR,01/01/1900
Extreme weather,0,Cameroon,CMR,01/01/1900
Flood,0,Cameroon,CMR,01/01/1900
Fog,0,Cameroon,CMR,01/01/1900
Glacial lake outburst flood,0,Cameroon,CMR,01/01/1900
Volcanic activity,0,Cameroon,CMR,01/01/1900
Wet mass movement,0,Cameroon,CMR,01/01/1900
Wildfire,0,Cameroon,CMR,01/01/1900
Drought,0,Cameroon,CMR,01/01/1910
Dry mass movement,0,Cameroon,CMR,01/01/1910
Earthquake,0,Cameroon,CMR,01/01/1910
Extreme temperature,0,Cameroon,CMR,01/01/1910
Extreme weather,0,Cameroon,CMR,01/01/1910
Flood,0,Cameroon,CMR,01/01/1910
Fog,0,Cameroon,CMR,01/01/1910
Glacial lake outburst flood,0,Cameroon,CMR,01/01/1910
Volcanic activity,0,Cameroon,CMR,01/01/1910
Wet mass movement,0,Cameroon,CMR,01/01/1910
Wildfire,0,Cameroon,CMR,01/01/1910
Drought,0,Cameroon,CMR,01/01/1920
Dry mass movement,0,Cameroon,CMR,01/01/1920
Earthquake,0,Cameroon,CMR,01/01/1920
Extreme temperature,0,Cameroon,CMR,01/01/1920
Extreme weather,0,Cameroon,CMR,01/01/1920
Flood,0,Cameroon,CMR,01/01/1920
Fog,0,Cameroon,CMR,01/01/1920
Glacial lake outburst flood,0,Cameroon,CMR,01/01/1920
Volcanic activity,0,Cameroon,CMR,01/01/1920
Wet mass movement,0,Cameroon,CMR,01/01/1920
Wildfire,0,Cameroon,CMR,01/01/1920
Drought,0,Cameroon,CMR,01/01/1930
Dry mass movement,0,Cameroon,CMR,01/01/1930
Earthquake,0,Cameroon,CMR,01/01/1930
Extreme temperature,0,Cameroon,CMR,01/01/1930
Extreme weather,0,Cameroon,CMR,01/01/1930
Flood,0,Cameroon,CMR,01/01/1930
Fog,0,Cameroon,CMR,01/01/1930
Glacial lake outburst flood,0,Cameroon,CMR,01/01/1930
Volcanic activity,0,Cameroon,CMR,01/01/1930
Wet mass movement,0,Cameroon,CMR,01/01/1930
Wildfire,0,Cameroon,CMR,01/01/1930
Drought,0,Cameroon,CMR,01/01/1940
Dry mass movement,0,Cameroon,CMR,01/01/1940
Earthquake,0,Cameroon,CMR,01/01/1940
Extreme temperature,0,Cameroon,CMR,01/01/1940
Extreme weather,0,Cameroon,CMR,01/01/1940
Flood,0,Cameroon,CMR,01/01/1940
Fog,0,Cameroon,CMR,01/01/1940
Glacial lake outburst flood,0,Cameroon,CMR,01/01/1940
Volcanic activity,0,Cameroon,CMR,01/01/1940
Wet mass movement,0,Cameroon,CMR,01/01/1940
Wildfire,0,Cameroon,CMR,01/01/1940
Drought,0,Cameroon,CMR,01/01/1950
Dry mass movement,0,Cameroon,CMR,01/01/1950
Earthquake,0,Cameroon,CMR,01/01/1950
Extreme temperature,0,Cameroon,CMR,01/01/1950
Extreme weather,0,Cameroon,CMR,01/01/1950
Flood,0,Cameroon,CMR,01/01/1950
Fog,0,Cameroon,CMR,01/01/1950
Glacial lake outburst flood,0,Cameroon,CMR,01/01/1950
Volcanic activity,0,Cameroon,CMR,01/01/1950
Wet mass movement,0,Cameroon,CMR,01/01/1950
Wildfire,0,Cameroon,CMR,01/01/1950
Drought,0,Cameroon,CMR,01/01/1960
Dry mass movement,0,Cameroon,CMR,01/01/1960
Earthquake,0,Cameroon,CMR,01/01/1960
Extreme temperature,0,Cameroon,CMR,01/01/1960
Extreme weather,0,Cameroon,CMR,01/01/1960
Flood,0,Cameroon,CMR,01/01/1960
Fog,0,Cameroon,CMR,01/01/1960
Glacial lake outburst flood,0,Cameroon,CMR,01/01/1960
Volcanic activity,0,Cameroon,CMR,01/01/1960
Wet mass movement,0,Cameroon,CMR,01/01/1960
Wildfire,0,Cameroon,CMR,01/01/1960
Drought,0,Cameroon,CMR,01/01/1970
Dry mass movement,0,Cameroon,CMR,01/01/1970
Earthquake,0,Cameroon,CMR,01/01/1970
Extreme temperature,0,Cameroon,CMR,01/01/1970
Extreme weather,0,Cameroon,CMR,01/01/1970
Flood,0,Cameroon,CMR,01/01/1970
Fog,0,Cameroon,CMR,01/01/1970
Glacial lake outburst flood,0,Cameroon,CMR,01/01/1970
Volcanic activity,0,Cameroon,CMR,01/01/1970
Wet mass movement,0,Cameroon,CMR,01/01/1970
Wildfire,0,Cameroon,CMR,01/01/1970
Drought,0,Cameroon,CMR,01/01/1980
Dry mass movement,0,Cameroon,CMR,01/01/1980
Earthquake,0,Cameroon,CMR,01/01/1980
Extreme temperature,0,Cameroon,CMR,01/01/1980
Extreme weather,0,Cameroon,CMR,01/01/1980
Flood,0.2,Cameroon,CMR,01/01/1980
Fog,0,Cameroon,CMR,01/01/1980
Glacial lake outburst flood,0,Cameroon,CMR,01/01/1980
Volcanic activity,178.3,Cameroon,CMR,01/01/1980
Wet mass movement,0,Cameroon,CMR,01/01/1980
Wildfire,0,Cameroon,CMR,01/01/1980
Drought,0,Cameroon,CMR,01/01/1990
Dry mass movement,0,Cameroon,CMR,01/01/1990
Earthquake,0,Cameroon,CMR,01/01/1990
Extreme temperature,0,Cameroon,CMR,01/01/1990
Extreme weather,0,Cameroon,CMR,01/01/1990
Flood,3.2,Cameroon,CMR,01/01/1990
Fog,0,Cameroon,CMR,01/01/1990
Glacial lake outburst flood,0,Cameroon,CMR,01/01/1990
Volcanic activity,0,Cameroon,CMR,01/01/1990
Wet mass movement,0,Cameroon,CMR,01/01/1990
Wildfire,0,Cameroon,CMR,01/01/1990
Drought,0,Cameroon,CMR,01/01/2000
Dry mass movement,0,Cameroon,CMR,01/01/2000
Earthquake,0,Cameroon,CMR,01/01/2000
Extreme temperature,0,Cameroon,CMR,01/01/2000
Extreme weather,0,Cameroon,CMR,01/01/2000
Flood,5.2,Cameroon,CMR,01/01/2000
Fog,0,Cameroon,CMR,01/01/2000
Glacial lake outburst flood,0,Cameroon,CMR,01/01/2000
Volcanic activity,0,Cameroon,CMR,01/01/2000
Wet mass movement,2,Cameroon,CMR,01/01/2000
Wildfire,0,Cameroon,CMR,01/01/2000
Drought,0,Cameroon,CMR,01/01/2010
Dry mass movement,0,Cameroon,CMR,01/01/2010
Earthquake,0,Cameroon,CMR,01/01/2010
Extreme temperature,0,Cameroon,CMR,01/01/2010
Extreme weather,0,Cameroon,CMR,01/01/2010
Flood,4.5,Cameroon,CMR,01/01/2010
Fog,0,Cameroon,CMR,01/01/2010
Glacial lake outburst flood,0,Cameroon,CMR,01/01/2010
Volcanic activity,0,Cameroon,CMR,01/01/2010
Wet mass movement,5.4,Cameroon,CMR,01/01/2010
Wildfire,0,Cameroon,CMR,01/01/2010
Drought,0,Cameroon,CMR,01/01/2020
Dry mass movement,0,Cameroon,CMR,01/01/2020
Earthquake,0,Cameroon,CMR,01/01/2020
Extreme temperature,0,Cameroon,CMR,01/01/2020
Extreme weather,0,Cameroon,CMR,01/01/2020
Flood,0.4,Cameroon,CMR,01/01/2020
Fog,0,Cameroon,CMR,01/01/2020
Glacial lake outburst flood,0,Cameroon,CMR,01/01/2020
Volcanic activity,0,Cameroon,CMR,01/01/2020
Wet mass movement,9.2,Cameroon,CMR,01/01/2020
Wildfire,0,Cameroon,CMR,01/01/2020
Drought,0,Canada,CAN,01/01/1900
Dry mass movement,12.7,Canada,CAN,01/01/1900
Earthquake,0,Canada,CAN,01/01/1900
Extreme temperature,0,Canada,CAN,01/01/1900
Extreme weather,0,Canada,CAN,01/01/1900
Flood,0,Canada,CAN,01/01/1900
Fog,0,Canada,CAN,01/01/1900
Glacial lake outburst flood,0,Canada,CAN,01/01/1900
Volcanic activity,0,Canada,CAN,01/01/1900
Wet mass movement,0,Canada,CAN,01/01/1900
Wildfire,0,Canada,CAN,01/01/1900
Drought,0,Canada,CAN,01/01/1910
Dry mass movement,0,Canada,CAN,01/01/1910
Earthquake,0,Canada,CAN,01/01/1910
Extreme temperature,0,Canada,CAN,01/01/1910
Extreme weather,2.8,Canada,CAN,01/01/1910
Flood,0,Canada,CAN,01/01/1910
Fog,0,Canada,CAN,01/01/1910
Glacial lake outburst flood,0,Canada,CAN,01/01/1910
Volcanic activity,0,Canada,CAN,01/01/1910
Wet mass movement,11.8,Canada,CAN,01/01/1910
Wildfire,7.3,Canada,CAN,01/01/1910
Drought,0,Canada,CAN,01/01/1920
Dry mass movement,0,Canada,CAN,01/01/1920
Earthquake,2.7,Canada,CAN,01/01/1920
Extreme temperature,0,Canada,CAN,01/01/1920
Extreme weather,0,Canada,CAN,01/01/1920
Flood,0,Canada,CAN,01/01/1920
Fog,0,Canada,CAN,01/01/1920
Glacial lake outburst flood,0,Canada,CAN,01/01/1920
Volcanic activity,0,Canada,CAN,01/01/1920
Wet mass movement,0,Canada,CAN,01/01/1920
Wildfire,4.3,Canada,CAN,01/01/1920
Drought,0,Canada,CAN,01/01/1930
Dry mass movement,0,Canada,CAN,01/01/1930
Earthquake,0,Canada,CAN,01/01/1930
Extreme temperature,50,Canada,CAN,01/01/1930
Extreme weather,0,Canada,CAN,01/01/1930
Flood,0,Canada,CAN,01/01/1930
Fog,0,Canada,CAN,01/01/1930
Glacial lake outburst flood,0,Canada,CAN,01/01/1930
Volcanic activity,0,Canada,CAN,01/01/1930
Wet mass movement,0,Canada,CAN,01/01/1930
Wildfire,0,Canada,CAN,01/01/1930
Drought,0,Canada,CAN,01/01/1940
Dry mass movement,0,Canada,CAN,01/01/1940
Earthquake,0,Canada,CAN,01/01/1940
Extreme temperature,0,Canada,CAN,01/01/1940
Extreme weather,1.7,Canada,CAN,01/01/1940
Flood,0,Canada,CAN,01/01/1940
Fog,0,Canada,CAN,01/01/1940
Glacial lake outburst flood,0,Canada,CAN,01/01/1940
Volcanic activity,0,Canada,CAN,01/01/1940
Wet mass movement,0,Canada,CAN,01/01/1940
Wildfire,0,Canada,CAN,01/01/1940
Drought,0,Canada,CAN,01/01/1950
Dry mass movement,0.3,Canada,CAN,01/01/1950
Earthquake,0,Canada,CAN,01/01/1950
Extreme temperature,0,Canada,CAN,01/01/1950
Extreme weather,8.9,Canada,CAN,01/01/1950
Flood,0.1,Canada,CAN,01/01/1950
Fog,0,Canada,CAN,01/01/1950
Glacial lake outburst flood,0,Canada,CAN,01/01/1950
Volcanic activity,0,Canada,CAN,01/01/1950
Wet mass movement,0,Canada,CAN,01/01/1950
Wildfire,0,Canada,CAN,01/01/1950
Drought,0,Canada,CAN,01/01/1960
Dry mass movement,0,Canada,CAN,01/01/1960
Earthquake,0,Canada,CAN,01/01/1960
Extreme temperature,0,Canada,CAN,01/01/1960
Extreme weather,3.3,Canada,CAN,01/01/1960
Flood,0,Canada,CAN,01/01/1960
Fog,0,Canada,CAN,01/01/1960
Glacial lake outburst flood,0,Canada,CAN,01/01/1960
Volcanic activity,0,Canada,CAN,01/01/1960
Wet mass movement,2.6,Canada,CAN,01/01/1960
Wildfire,0,Canada,CAN,01/01/1960
Drought,0,Canada,CAN,01/01/1970
Dry mass movement,0,Canada,CAN,01/01/1970
Earthquake,0,Canada,CAN,01/01/1970
Extreme temperature,0,Canada,CAN,01/01/1970
Extreme weather,2.4,Canada,CAN,01/01/1970
Flood,0,Canada,CAN,01/01/1970
Fog,0,Canada,CAN,01/01/1970
Glacial lake outburst flood,0,Canada,CAN,01/01/1970
Volcanic activity,0,Canada,CAN,01/01/1970
Wet mass movement,3.1,Canada,CAN,01/01/1970
Wildfire,0,Canada,CAN,01/01/1970
Drought,0,Canada,CAN,01/01/1980
Dry mass movement,0,Canada,CAN,01/01/1980
Earthquake,0,Canada,CAN,01/01/1980
Extreme temperature,0,Canada,CAN,01/01/1980
Extreme weather,3.8,Canada,CAN,01/01/1980
Flood,0.3,Canada,CAN,01/01/1980
Fog,0,Canada,CAN,01/01/1980
Glacial lake outburst flood,0,Canada,CAN,01/01/1980
Volcanic activity,0,Canada,CAN,01/01/1980
Wet mass movement,0,Canada,CAN,01/01/1980
Wildfire,0.1,Canada,CAN,01/01/1980
Drought,0,Canada,CAN,01/01/1990
Dry mass movement,0,Canada,CAN,01/01/1990
Earthquake,0,Canada,CAN,01/01/1990
Extreme temperature,0,Canada,CAN,01/01/1990
Extreme weather,3.8,Canada,CAN,01/01/1990
Flood,2.5,Canada,CAN,01/01/1990
Fog,0,Canada,CAN,01/01/1990
Glacial lake outburst flood,0,Canada,CAN,01/01/1990
Volcanic activity,0,Canada,CAN,01/01/1990
Wet mass movement,0,Canada,CAN,01/01/1990
Wildfire,0,Canada,CAN,01/01/1990
Drought,0,Canada,CAN,01/01/2000
Dry mass movement,0,Canada,CAN,01/01/2000
Earthquake,0,Canada,CAN,01/01/2000
Extreme temperature,0,Canada,CAN,01/01/2000
Extreme weather,3.2,Canada,CAN,01/01/2000
Flood,0.9,Canada,CAN,01/01/2000
Fog,0,Canada,CAN,01/01/2000
Glacial lake outburst flood,0,Canada,CAN,01/01/2000
Volcanic activity,0,Canada,CAN,01/01/2000
Wet mass movement,0,Canada,CAN,01/01/2000
Wildfire,0.1,Canada,CAN,01/01/2000
Drought,0,Canada,CAN,01/01/2010
Dry mass movement,0,Canada,CAN,01/01/2010
Earthquake,0,Canada,CAN,01/01/2010
Extreme temperature,8,Canada,CAN,01/01/2010
Extreme weather,0.3,Canada,CAN,01/01/2010
Flood,1.2,Canada,CAN,01/01/2010
Fog,0,Canada,CAN,01/01/2010
Glacial lake outburst flood,0,Canada,CAN,01/01/2010
Volcanic activity,0,Canada,CAN,01/01/2010
Wet mass movement,0,Canada,CAN,01/01/2010
Wildfire,0.1,Canada,CAN,01/01/2010
Drought,0,Canada,CAN,01/01/2020
Dry mass movement,0,Canada,CAN,01/01/2020
Earthquake,0,Canada,CAN,01/01/2020
Extreme temperature,163.4,Canada,CAN,01/01/2020
Extreme weather,3.6,Canada,CAN,01/01/2020
Flood,2.2,Canada,CAN,01/01/2020
Fog,0,Canada,CAN,01/01/2020
Glacial lake outburst flood,0,Canada,CAN,01/01/2020
Volcanic activity,0,Canada,CAN,01/01/2020
Wet mass movement,0,Canada,CAN,01/01/2020
Wildfire,0.8,Canada,CAN,01/01/2020
Drought,1100,Cape Verde,CPV,01/01/1900
Dry mass movement,0,Cape Verde,CPV,01/01/1900
Earthquake,0,Cape Verde,CPV,01/01/1900
Extreme temperature,0,Cape Verde,CPV,01/01/1900
Extreme weather,0,Cape Verde,CPV,01/01/1900
Flood,0,Cape Verde,CPV,01/01/1900
Fog,0,Cape Verde,CPV,01/01/1900
Glacial lake outburst flood,0,Cape Verde,CPV,01/01/1900
Volcanic activity,0,Cape Verde,CPV,01/01/1900
Wet mass movement,0,Cape Verde,CPV,01/01/1900
Wildfire,0,Cape Verde,CPV,01/01/1900
Drought,0,Cape Verde,CPV,01/01/1910
Dry mass movement,0,Cape Verde,CPV,01/01/1910
Earthquake,0,Cape Verde,CPV,01/01/1910
Extreme temperature,0,Cape Verde,CPV,01/01/1910
Extreme weather,0,Cape Verde,CPV,01/01/1910
Flood,0,Cape Verde,CPV,01/01/1910
Fog,0,Cape Verde,CPV,01/01/1910
Glacial lake outburst flood,0,Cape Verde,CPV,01/01/1910
Volcanic activity,0,Cape Verde,CPV,01/01/1910
Wet mass movement,0,Cape Verde,CPV,01/01/1910
Wildfire,0,Cape Verde,CPV,01/01/1910
Drought,2400,Cape Verde,CPV,01/01/1920
Dry mass movement,0,Cape Verde,CPV,01/01/1920
Earthquake,0,Cape Verde,CPV,01/01/1920
Extreme temperature,0,Cape Verde,CPV,01/01/1920
Extreme weather,0,Cape Verde,CPV,01/01/1920
Flood,0,Cape Verde,CPV,01/01/1920
Fog,0,Cape Verde,CPV,01/01/1920
Glacial lake outburst flood,0,Cape Verde,CPV,01/01/1920
Volcanic activity,0,Cape Verde,CPV,01/01/1920
Wet mass movement,0,Cape Verde,CPV,01/01/1920
Wildfire,0,Cape Verde,CPV,01/01/1920
Drought,0,Cape Verde,CPV,01/01/1930
Dry mass movement,0,Cape Verde,CPV,01/01/1930
Earthquake,0,Cape Verde,CPV,01/01/1930
Extreme temperature,0,Cape Verde,CPV,01/01/1930
Extreme weather,0,Cape Verde,CPV,01/01/1930
Flood,0,Cape Verde,CPV,01/01/1930
Fog,0,Cape Verde,CPV,01/01/1930
Glacial lake outburst flood,0,Cape Verde,CPV,01/01/1930
Volcanic activity,0,Cape Verde,CPV,01/01/1930
Wet mass movement,0,Cape Verde,CPV,01/01/1930
Wildfire,0,Cape Verde,CPV,01/01/1930
Drought,5000,Cape Verde,CPV,01/01/1940
Dry mass movement,0,Cape Verde,CPV,01/01/1940
Earthquake,0,Cape Verde,CPV,01/01/1940
Extreme temperature,0,Cape Verde,CPV,01/01/1940
Extreme weather,0,Cape Verde,CPV,01/01/1940
Flood,0,Cape Verde,CPV,01/01/1940
Fog,0,Cape Verde,CPV,01/01/1940
Glacial lake outburst flood,0,Cape Verde,CPV,01/01/1940
Volcanic activity,0,Cape Verde,CPV,01/01/1940
Wet mass movement,0,Cape Verde,CPV,01/01/1940
Wildfire,0,Cape Verde,CPV,01/01/1940
Drought,0,Cape Verde,CPV,01/01/1950
Dry mass movement,0,Cape Verde,CPV,01/01/1950
Earthquake,0,Cape Verde,CPV,01/01/1950
Extreme temperature,0,Cape Verde,CPV,01/01/1950
Extreme weather,0,Cape Verde,CPV,01/01/1950
Flood,0,Cape Verde,CPV,01/01/1950
Fog,0,Cape Verde,CPV,01/01/1950
Glacial lake outburst flood,0,Cape Verde,CPV,01/01/1950
Volcanic activity,0,Cape Verde,CPV,01/01/1950
Wet mass movement,0,Cape Verde,CPV,01/01/1950
Wildfire,0,Cape Verde,CPV,01/01/1950
Drought,0,Cape Verde,CPV,01/01/1960
Dry mass movement,0,Cape Verde,CPV,01/01/1960
Earthquake,0,Cape Verde,CPV,01/01/1960
Extreme temperature,0,Cape Verde,CPV,01/01/1960
Extreme weather,0,Cape Verde,CPV,01/01/1960
Flood,0,Cape Verde,CPV,01/01/1960
Fog,0,Cape Verde,CPV,01/01/1960
Glacial lake outburst flood,0,Cape Verde,CPV,01/01/1960
Volcanic activity,0,Cape Verde,CPV,01/01/1960
Wet mass movement,0,Cape Verde,CPV,01/01/1960
Wildfire,0,Cape Verde,CPV,01/01/1960
Drought,0,Cape Verde,CPV,01/01/1970
Dry mass movement,0,Cape Verde,CPV,01/01/1970
Earthquake,0,Cape Verde,CPV,01/01/1970
Extreme temperature,0,Cape Verde,CPV,01/01/1970
Extreme weather,0,Cape Verde,CPV,01/01/1970
Flood,0,Cape Verde,CPV,01/01/1970
Fog,0,Cape Verde,CPV,01/01/1970
Glacial lake outburst flood,0,Cape Verde,CPV,01/01/1970
Volcanic activity,0,Cape Verde,CPV,01/01/1970
Wet mass movement,0,Cape Verde,CPV,01/01/1970
Wildfire,0,Cape Verde,CPV,01/01/1970
Drought,0,Cape Verde,CPV,01/01/1980
Dry mass movement,0,Cape Verde,CPV,01/01/1980
Earthquake,0,Cape Verde,CPV,01/01/1980
Extreme temperature,0,Cape Verde,CPV,01/01/1980
Extreme weather,3.2,Cape Verde,CPV,01/01/1980
Flood,0,Cape Verde,CPV,01/01/1980
Fog,0,Cape Verde,CPV,01/01/1980
Glacial lake outburst flood,0,Cape Verde,CPV,01/01/1980
Volcanic activity,0,Cape Verde,CPV,01/01/1980
Wet mass movement,0,Cape Verde,CPV,01/01/1980
Wildfire,0,Cape Verde,CPV,01/01/1980
Drought,0,Cape Verde,CPV,01/01/1990
Dry mass movement,0,Cape Verde,CPV,01/01/1990
Earthquake,0,Cape Verde,CPV,01/01/1990
Extreme temperature,0,Cape Verde,CPV,01/01/1990
Extreme weather,0,Cape Verde,CPV,01/01/1990
Flood,0,Cape Verde,CPV,01/01/1990
Fog,0,Cape Verde,CPV,01/01/1990
Glacial lake outburst flood,0,Cape Verde,CPV,01/01/1990
Volcanic activity,0,Cape Verde,CPV,01/01/1990
Wet mass movement,0,Cape Verde,CPV,01/01/1990
Wildfire,0,Cape Verde,CPV,01/01/1990
Drought,0,Cape Verde,CPV,01/01/2000
Dry mass movement,0,Cape Verde,CPV,01/01/2000
Earthquake,0,Cape Verde,CPV,01/01/2000
Extreme temperature,0,Cape Verde,CPV,01/01/2000
Extreme weather,0,Cape Verde,CPV,01/01/2000
Flood,0.3,Cape Verde,CPV,01/01/2000
Fog,0,Cape Verde,CPV,01/01/2000
Glacial lake outburst flood,0,Cape Verde,CPV,01/01/2000
Volcanic activity,0,Cape Verde,CPV,01/01/2000
Wet mass movement,0,Cape Verde,CPV,01/01/2000
Wildfire,0,Cape Verde,CPV,01/01/2000
Drought,0,Cape Verde,CPV,01/01/2010
Dry mass movement,0,Cape Verde,CPV,01/01/2010
Earthquake,0,Cape Verde,CPV,01/01/2010
Extreme temperature,0,Cape Verde,CPV,01/01/2010
Extreme weather,0.9,Cape Verde,CPV,01/01/2010
Flood,0,Cape Verde,CPV,01/01/2010
Fog,0,Cape Verde,CPV,01/01/2010
Glacial lake outburst flood,0,Cape Verde,CPV,01/01/2010
Volcanic activity,0,Cape Verde,CPV,01/01/2010
Wet mass movement,0,Cape Verde,CPV,01/01/2010
Wildfire,0,Cape Verde,CPV,01/01/2010
Drought,0,Cape Verde,CPV,01/01/2020
Dry mass movement,0,Cape Verde,CPV,01/01/2020
Earthquake,0,Cape Verde,CPV,01/01/2020
Extreme temperature,0,Cape Verde,CPV,01/01/2020
Extreme weather,0,Cape Verde,CPV,01/01/2020
Flood,0.2,Cape Verde,CPV,01/01/2020
Fog,0,Cape Verde,CPV,01/01/2020
Glacial lake outburst flood,0,Cape Verde,CPV,01/01/2020
Volcanic activity,0,Cape Verde,CPV,01/01/2020
Wet mass movement,0,Cape Verde,CPV,01/01/2020
Wildfire,0,Cape Verde,CPV,01/01/2020
Drought,0,Cayman Islands,CYM,01/01/1900
Dry mass movement,0,Cayman Islands,CYM,01/01/1900
Earthquake,0,Cayman Islands,CYM,01/01/1900
Extreme temperature,0,Cayman Islands,CYM,01/01/1900
Extreme weather,0,Cayman Islands,CYM,01/01/1900
Flood,0,Cayman Islands,CYM,01/01/1900
Fog,0,Cayman Islands,CYM,01/01/1900
Glacial lake outburst flood,0,Cayman Islands,CYM,01/01/1900
Volcanic activity,0,Cayman Islands,CYM,01/01/1900
Wet mass movement,0,Cayman Islands,CYM,01/01/1900
Wildfire,0,Cayman Islands,CYM,01/01/1900
Drought,0,Cayman Islands,CYM,01/01/1910
Dry mass movement,0,Cayman Islands,CYM,01/01/1910
Earthquake,0,Cayman Islands,CYM,01/01/1910
Extreme temperature,0,Cayman Islands,CYM,01/01/1910
Extreme weather,0,Cayman Islands,CYM,01/01/1910
Flood,0,Cayman Islands,CYM,01/01/1910
Fog,0,Cayman Islands,CYM,01/01/1910
Glacial lake outburst flood,0,Cayman Islands,CYM,01/01/1910
Volcanic activity,0,Cayman Islands,CYM,01/01/1910
Wet mass movement,0,Cayman Islands,CYM,01/01/1910
Wildfire,0,Cayman Islands,CYM,01/01/1910
Drought,0,Cayman Islands,CYM,01/01/1920
Dry mass movement,0,Cayman Islands,CYM,01/01/1920
Earthquake,0,Cayman Islands,CYM,01/01/1920
Extreme temperature,0,Cayman Islands,CYM,01/01/1920
Extreme weather,0,Cayman Islands,CYM,01/01/1920
Flood,0,Cayman Islands,CYM,01/01/1920
Fog,0,Cayman Islands,CYM,01/01/1920
Glacial lake outburst flood,0,Cayman Islands,CYM,01/01/1920
Volcanic activity,0,Cayman Islands,CYM,01/01/1920
Wet mass movement,0,Cayman Islands,CYM,01/01/1920
Wildfire,0,Cayman Islands,CYM,01/01/1920
Drought,0,Cayman Islands,CYM,01/01/1930
Dry mass movement,0,Cayman Islands,CYM,01/01/1930
Earthquake,0,Cayman Islands,CYM,01/01/1930
Extreme temperature,0,Cayman Islands,CYM,01/01/1930
Extreme weather,0,Cayman Islands,CYM,01/01/1930
Flood,0,Cayman Islands,CYM,01/01/1930
Fog,0,Cayman Islands,CYM,01/01/1930
Glacial lake outburst flood,0,Cayman Islands,CYM,01/01/1930
Volcanic activity,0,Cayman Islands,CYM,01/01/1930
Wet mass movement,0,Cayman Islands,CYM,01/01/1930
Wildfire,0,Cayman Islands,CYM,01/01/1930
Drought,0,Cayman Islands,CYM,01/01/1940
Dry mass movement,0,Cayman Islands,CYM,01/01/1940
Earthquake,0,Cayman Islands,CYM,01/01/1940
Extreme temperature,0,Cayman Islands,CYM,01/01/1940
Extreme weather,0,Cayman Islands,CYM,01/01/1940
Flood,0,Cayman Islands,CYM,01/01/1940
Fog,0,Cayman Islands,CYM,01/01/1940
Glacial lake outburst flood,0,Cayman Islands,CYM,01/01/1940
Volcanic activity,0,Cayman Islands,CYM,01/01/1940
Wet mass movement,0,Cayman Islands,CYM,01/01/1940
Wildfire,0,Cayman Islands,CYM,01/01/1940
Drought,0,Cayman Islands,CYM,01/01/1950
Dry mass movement,0,Cayman Islands,CYM,01/01/1950
Earthquake,0,Cayman Islands,CYM,01/01/1950
Extreme temperature,0,Cayman Islands,CYM,01/01/1950
Extreme weather,0,Cayman Islands,CYM,01/01/1950
Flood,0,Cayman Islands,CYM,01/01/1950
Fog,0,Cayman Islands,CYM,01/01/1950
Glacial lake outburst flood,0,Cayman Islands,CYM,01/01/1950
Volcanic activity,0,Cayman Islands,CYM,01/01/1950
Wet mass movement,0,Cayman Islands,CYM,01/01/1950
Wildfire,0,Cayman Islands,CYM,01/01/1950
Drought,0,Cayman Islands,CYM,01/01/1960
Dry mass movement,0,Cayman Islands,CYM,01/01/1960
Earthquake,0,Cayman Islands,CYM,01/01/1960
Extreme temperature,0,Cayman Islands,CYM,01/01/1960
Extreme weather,0,Cayman Islands,CYM,01/01/1960
Flood,0,Cayman Islands,CYM,01/01/1960
Fog,0,Cayman Islands,CYM,01/01/1960
Glacial lake outburst flood,0,Cayman Islands,CYM,01/01/1960
Volcanic activity,0,Cayman Islands,CYM,01/01/1960
Wet mass movement,0,Cayman Islands,CYM,01/01/1960
Wildfire,0,Cayman Islands,CYM,01/01/1960
